銘柄名,preprocessed_text
小鼓,純米吟醸無濾過生原酒 アルコ ル度数17度 五百万石58% 10月に製品化 スペックだけでも 想像が出来るように搾りたての純米新酒ですので飲めばスッキリとした味で思わず笑ってしまう感じです  生酒ですが 微炭酸では無いのですが清涼感が有って コメの味わいを楽しみたい方は熟成タイプの製品が良いとは思いますが限定酒なのでこの季節にいちはやく 搾りたて を堪能したい方にはオススメです  日本酒初心者ながら ここのお酒は本当に飲みやすかったです  すいすい飲めてしまい ついつい飲みすぎてしまいました  また買って飲みたいです  蔵見学も無料でやっているようなので 行ってみたいです  僭越ながら  日本酒好きを自負する私が この世で一番愛する日本酒  それが小鼓です  穏やかで優しい香りは料理の味を邪魔することなく  それでいて程よいうまみ 酸味は料理を盛り立てる    華やかなようでたおやかで  力強いようで優しい  甘口なようで辛口なこの不思議な酒はいつも体に染み渡ります  慣れてくるといつも別の酒に浮気をするのですが  やっぱりこの酒に帰って来たくなる  そしてやはり思う  ああ やっぱりうまい   そんな酒です  観光で神戸に立ち寄った三宮の居酒屋で小鼓緑に偶然出会いました  初めは適当に白鶴の純米あたりをを飲むつもりでしたが 無かったので代わりに飲んだ小鼓が想像以上においしくてビックリ 一発で気に入ってしまいました  ものすごく品が良くてスルスル飲める感じで 初心者や女性にもとってもおススメだと思います  小鼓生詰吟醸を呑みました 旨かったなあ コメの旨みも戻り香も絶妙 酒を半年寝かせた 秋あがりのお酒の絶品 秋の紅葉 黄葉を楽しみ 秋あがりの酒で高揚しましょう  すきです
尾張男山,一升1850円 税抜き で安く sony創業者盛田昭夫氏の実家蔵なので 興味をひかれて買ってみた それなりにフル ティ  変なアルコ ルくささはない 十分旨かったので リピ トします 
尾瀬の雪どけ,冷酒でいただく 癖がなく飲みやすい辛口 かるく純米らしいうまみがある 料理を邪魔せず食中酒によい アルコ ル16 5度で 脂ののった魚のお頭にも負けない力もある 居酒屋にて  冷やしているせいか香りは弱い とても甘うまく感じる 裏のラベルにかすみ酒とあるように少しにごり成分がある 混ぜて飲むと甘さが消えて渋みのあるあと味 甘ったるい感じがしていたので最初から混ぜたほうがいいのかも  含むとグレ プフル ツ的甘味がフワッと優しく  心安らぐように広がります この広がり なるほど雪だるまらしい 余韻は柑橘の皮らしいやや苦を感じてスッとヒケます  旨いです  最近 頂くようになったんですが  尾瀬の雪どけの夏吟 良いです  香りも良く 飲み味も癖がなくて飲みやすいし  若い頃 淡麗辛口に近いお酒ばかり飲んでたので  初めて飲んだ時は こんな酒があったのかと驚きました  癖がなく香りも良く とにかく飲みやすかったです  自分 米どころ 酒どころって言われる新潟の出ですが  尾瀬の雪どけ 美味かったです  四合瓶で購入しました  開栓して飲んでみると  思春期の片思いのような酸が強めの甘酸っぱさが目立ちました  それが冷蔵庫に入れて日が経つにつれて 酸が程よい状態になっていきます  口の中に酸と甘み とろみが口全体に広がっていき 心地よい余韻に浸ることができます  ありがとう  東京町田の 藤乃家 さんの利酒会2013年4月の出品酒  尾瀬の雪解け 純米桃色にごり本生  五百万石     赤色酵母  驚愕の日本酒度     まさにsweetです 桜餅のような香りでした  どんどん旨くなっている尾瀬の雪どけ  純米大吟醸で うす濁り ほんのり柑橘系のフレッシュ さっぱり すっきりしたノド越しに うす濁りならではのコクも感じられて 久  感動するお酒だった 一升瓶で3150円とは ありえない程度に満足感もあり   もともと香りに関しては以前から定評のある蔵だったが最近は旨み ふくらみ全てに関してレベルがあがってきたように感じます 値段もそんなに高くないし またビ ルも旨い  季節限定の 歳時記シリ ズ の一品  爽やかな香り  口当たりはやわらかだがコクがある  ふくらみのある味わいで雑味が無く 食中酒として楽しめる  薄いブル のボトルも爽やか 
屋守,とても良い甘い香りがする 色は少し濃いめの山吹色 甘くてうまいが酸味があって切れがいい 3日目くらいでとても味が濃く感じたが 季節外れの真夏日で温度が上がったせいか グラスに氷を1つ浮かべると冷えたのと少し薄くなったので飲みやすくなる 5日目で酸味と渋みが出てきた 気になったのはガス感がないのに良く栓がポン と飛んで行ったこと 最初の3日で栓が5回は飛んでいた 色が濃いのは栓が甘いせい  タッチは柔らかく 純米よりもライトで軽やか  含むとややパイナップルがフワッと 雄町らしいベリ 系もありながら  キレ良さはこちらも健在  個人的には味わいの太い純米よりこっちの方が好みです  旨いっすね  いつか飲みたいと思っていた銘柄の つでしたが  偶然にも出張先の酒屋さんで購入することが出来ました  タッチは優しくフワッと仄かなストロベリ   そこからジュ シ  フル ティ が迫って来るって感じですね  とはいえ 余韻はキレ良くスム スにダレることなくヒケます  思っていたよりグッと華やかですね  華やかさとキレのコントラストが心地良いですね  開封後 まず強烈なセメ臭  この商品の特徴なのか 販売店をハズしたか  純米中取りよりクリアな分 ひけの苦味もキツく感じ 正直純米中取りの方が旨かった  まず強烈な酸味  後を追いかけるように米の旨味や甘味とコクがやってくる  は苦味を伴ってスッとひく  自分は好きな方だけど 好き嫌いは別れそう  一緒に買った純米吟醸と呑み比べします  屋守らしい旨味とコクを感じさせながら すっきり飲み口の爽やかな夏酒でした  ピチピチしたところも最高です  中取り以外の荒走りと責めの部分を ブレンドしたもので これまでの屋守とは 少し違う感じです  個人的に芳醇で甘味と酸味があるものが 好みのど真ん中ですが  正直 これはこれでかなりイケるかもしれない  と思わせる味わい  粗い感じに少 辛口の印象ではあるが  丁度良い甘味も潜んでいる  何と言っても呑み飽きない  かといって 淡麗辛口とも違う  何とも言えない旨さがありますよ  この酒には  今夜は純米吟醸をいただこうではないですか  ピチピチ感とフレッシュな風味は 季節感を感じさせてくれます  嫌味の無い甘味とキレのある苦味の バランスがとくに良いと思います  上澄み部分だけだと炭酸が強く感じ 味わいが薄らぐ印象です  因みに 今年の純米中取りは昨年以上の 出来栄えで最高でした  どちらも良い感じです  品がある立香で 口に含むと甘味と米の旨味が広がる  雑味はなく 程よい苦味を感じたあとスッとキレる 非常にスマ トで完成度が高いお酒であります 初心者から酒通の方までそれぞれの味わい方を楽しめると思います  屋守    また旨い酒と出会えました 
山の井,精米歩合60% 表記はありませんが純米でしょう ほんの少しのおりなので 混ぜても味の変化はあまりない 香りはあまりなく5分ほど置いていたら少し泡が見える程度の微炭酸 やや甘く感じるがすっきりと切れが良い 重すぎず軽すぎず 程よくうまい  含むと締まった檸檬 蜜柑等の柑橘系の果実的香味が穏やかに  中盤からピリッとした柔らかい炭酸が立っており  ヒケはそのガス感を感じつつ 消えるようにパッとヒケる  裏ラベルに 感じるままに飲んで下さい とあります  ボリュ ム感が出る雄町の生を敢えてスタイリッシュ  スマ トに仕上げたような印象を感じます  宴席後半より前半に 会津の郷土料理や山菜の天ぷらなどと合わせてみたい  穏やかなタッチ 爽やかにパッと広がる梨のような旨味  中盤からミントの様な爽快なキレ 柔らかさとしなやかさがある  キレ良いので食との合わせ方もじっくりと楽しめる  アテと共にゆっくりとした時の流れを感じたい  派手さは無いがゆるりとした味わいが好きな人にはお薦め  精米歩合50% アルコ ル14%です 原材料名が米と米麹だけなので一応純米か 酒の種類の記載がないが 要冷蔵なので生酒らしく甘くてうまい 軽い酸味がありますが香りはあまり感じません 後味は重くなく飲みやすい  爽やかなライム系の柑橘を感じるテイスト  余韻はグレ プフル ツの皮のような苦みと渋みが主張し  その後 糠っぽい風味を残してヒケます  この辺は好みが分かれるところでしょうか  会津の純米にしては思っていたよりソリッドな酸味が強くて意外でした  狙ってるのかな  追記 後日 燗してみると更に酸が立つ 個人的には燗した方が好み 
山の寿,精米歩合55  アルコ ルは13%と低い 柑橘系を思わせるさわやかで軽い香り 味もフル ティ で酸味が効いてフレッシュ アルコ ルが低く 味も軽くてとても飲みやすい  この値段 吟醸酒でこの味 笑いが出た  素晴らしいの一言です  赤ラベル  九州の日本酒は 全般的に独特の麹のような香りがするイメ ジがあったが これはそんなに感じない  香りは控えめだが 旨みはしっかりある  九州の料理に合う そんなお酒 
山吹極, 飲み手を選ぶ  上級者向き というコピ に挑発され  飲んでやろうじゃないの と受けて立ちました 確かに度数の高さや酸度に手強いものがあるけど  ボウモア ラガ リンで鍛えた私 すんなり美味しくいただきました 味は豊か やや荒 しい感じは原酒だからか 無ろ過だからか そのままロックでもいけるし 少し割り水をしてぬる燗にするとさらに旨味が引き出されました 生もと純米系がお好きな方にはお奨めの一本です ただ もう少し寝かせた方が良かったかな とも思ってます 
山和,やや控えめで 甘いフル ティ な香り 味はイチゴのような感じがある 味も控えめだがうまさはしっかりとある 切れが良く 食中酒としても このままでも良い  穏やかな落ち着き 出しゃばらない食中酒  生魚介類の旨味にぴったりのほんのり辛口  福さやの辛子明太子を肴に 含むと味わいが濃厚になった 私の食中酒の解釈は 酒のご飯  控えめと思われたが 日本酒はほんと奥深い 穏やかに香る熟れた果実の甘い香り アタック強めにジュワッと広がる甘旨味 べたつく感じ無く余韻短く綺麗にスッと退いていく 肴無くともグビグビいけますね  昨年の 純米大吟醸日本王者 ス  っと入っていく華やかな香り 飲んだ後のスッキリ感が最高です これは文句無しに美味い酒です メジャ ブランドになるのは間違いないお酒です  年末 純米大吟醸部門で 位に選ばれていましたね    で拝見しました  一度飲んでみたい銘柄です  フワッと香って酸味が広がり 後味よろしくスウッと消える  口中を程よくリセットして 次の料理に箸を進めさせてくれます  ねじ伏せる豪速球ではなく キレとコントロ ルで勝負する実力派投手タイプかな  メロンの様な香りがあります 口に含むと酸味は感じますが 甘味や旨味はほとんど感じません 後口に甘い香りと苦味が残ります 
山城屋,優しいタッチからナチュラル感とクリアさを感じる生モトらしい旨味  そこからほんのりイチゴと青リンゴ  旨酸っぱさを感じながら ヒケはキレ良くスッと  綺麗で確かに旨い これが機械的な旨さにならないことを願う 
山川光男,初めて見ましたが  年から醸されているみたいですね  含むと濃い目のグレ プフル ツ系甘苦香味  葡萄の甘味もほんのりと加わっている  余韻は甘苦フル ティ にヒケます  夏物 なのか  の割に味わいのボリュ ム感が強いですね  ラベルの山川光男さんがほっこりしてます   旨いっす 
山川流,おだやかなよい香りがある 甘味もあり 燗すると押しも出てくる 味は少し強め 
山形正宗,スッキリとした味わいの中に旨酸がしっかりとある 色 なアテと合わせたが 全て合う 素晴らしい 次は温めてみたい  キャップは穴あきのガスが抜けるタイプなので炭酸が強いのかと思いきや まったく炭酸は感じない 香りは穏やか わずかに軽めの良い香りがする 旨みを感じるが甘すぎず うすにごりのためか渋みが少し 切れがいい 食事に合わせても そのままでもいける程よい味わい  精米歩合60  アルコ ル分16度 お燗でいただきました  癖のない安定した飲み口で 思ったより辛さも強くありません  いろんなシチュエ ションに対応できるオ ルラウンドな飲みごごち  食事を味わいながらゆっくりと楽しめる豊かなお酒です  シンプルな稲と象のラベル 精米歩合60% アルコ ル15% なのに吟醸の表記はナシ 薄めのフル ティ な香りだが味はしっかりとあってとてもうまい バナナっぽい感じ 適度な甘さと酸味 少しの渋みが絡み合う 濃すぎず 薄すぎず ちょうどいい感じでいつまでも飲める  スッキリ軽快な飲み口 力強い芳醇な旨味  ヒケは らしさ のあるシャ プな余韻  米への愛着 米の良さをしっかり出してます  美味しいアテと共にぐびぐびと飲み過ぎてしまう  旨酒です 裏ラベルにある 人生は 遊びだ  がグッと来ます  精米歩合65  アルコ ル分16度 雄町らしいどっしりとした飲み口 酸味の心地よい旨口の味わいです 熱燗でいただきました  含むとリンゴ的甘旨味が優しくふわり  冷やして飲むと白ワイン的なスマ トなニュアンスですが  温度帯がやや上がると林檎的な表情に変わります  余韻はキレ良く旨酸っぱい酸を感じつつキレ良く軽快にヒケます   東条秋津産 の山田錦で醸したものとのことだが   兵庫県産山田錦 としか表記がありませんね  それこそが何かの思惑か 笑   アテは何だろう フレンチのソ ス系 肉系なんかと合いそうな感じですね  冷やして飲むと粘質感あるタッチにリンゴ酸 すぼまった旨味  確かに燗すると花開きそうな そんな蕾の様ないじらしさ  燗してみると  流石 蕾が花開く  リンゴや苺の旨酸っぱ酸が広がりますね  余韻はキュッと  温かさと優しさ 癒しがありますね  これはラベル通り燗して飲った方が間違いなく良い  色 挑戦し 今がある  山形正宗 ちょっと注目増し増しで  山形正宗 純米吟醸 雄町   袋採り直汲み 生原酒      極 微かにウッディなニュアンスを含み バナナ系の吟醸香がふわり  シュッとタイトで張りのある口当たり  若干 酸の当たりは強いもののエッヂくっきり 甘い匂いと淡い甘さをぎゅっとタイトに纏め上げる感覚  ググッと盛り上がり シュルシュルっと退けていく  静岡吟醸とか大好物な自分なので 好みということもあるのですが  本当に美味しなぁ と感じます  木香は極 微かに感じられますが 以前ほど強くなく気にならないですね  梨の様な瑞 しさとバナナの甘味  余韻は柑橘の皮を感じる苦みを伴ってドライにヒケます  果実感のある甘味のボリュ ムとこのスパッと切れる キレのバランスが秀逸です  旨いっす アテも何でも合います  酒も食も進みまくりです   正宗 と名がつくお酒は何となく避けていましたが よく行く居酒屋さんのレギュラ になっていることもあり 試してみました  若干淡麗の風味で酸味が少なく 辛さが引き立つような作りのように感じられましたが インパクトのある辛口ではなく お刺身と一緒に飲みたいと思いました  米の旨味が十二分に感じられ 余韻にかけてドライにキレていきます  辛口とありますが 過ぎるほどの辛口ではないですね  いわゆる純米としての米の旨味と余韻のドライさのバランスがたまらない  旨いっすね  食中酒の定番としてストックしたい一品です  アルコ ル度数16 17 精米歩合55   香り柔らかくほのか  飲み口すっきりキレ有り  クセ無くマイルドなコク  万能タイプ  山形正宗としては恐らく初めての生もと造りの純米かな  含むと雄町らしいワイルドな野性味ある南国的な味わいと含み香  そして 生もとらしい腰のパンとしたしっかりとしたコクを感じます  余韻の酸味も雄町らしさかな  しっかりした味わいなので結構何でも合いそうな食中酒です  うん これはかなり美味しいです  含むと桃 メロンのような香り  ラムネのようなドライ且つ爽快感のある甘味を感じます  夏物にしてはしっかりとした味わいで結構好み  原酒なのかな 旨いっす  柔らかな熟成感をバランス良く感じます  味わいの奥にやや焦げたような香り  酒のみで味わうよりも秋刀魚などの秋の食材と一緒に 食中酒として飲む方が良さそう  ぬる燗で飲むと尚良さそうです 
山本,山本が1号酵母仕込みですか チャレンジしましたね 笑   含むと苦味と渋みが先に来ます  次いでストロベリ のような酸のある甘味がフワリ  ヒケは再度 シャ プなドライ感を伴ってフィニッシュ  山本にしてはアダルトな味わいでした 笑   アテを包み込むので食欲を誘う味わいですね  亀の尾の純吟スペックは10年ぶりに飲む  含むと広がるというよりはスリムでスマ ト  味わいはやや柑橘っぽい酸味が強め 舌の上でその酸とピリつくガス感を余韻に感じながらスッキリとヒケていきます モダンな味わい 味わいの割にやや強めに感じられる酸が印象的ですね  含むと香りは穏やか 軽快な中に旨味 チリチリと舌に感じる酸 余韻はグレ プフル ツの皮のようなドライと苦味が際立つ いつもの山本はまた異なる表情ですね  含んだ初見はめっちゃ白ワイン 旨い アタックは質感滑らかにヒケに仄かなガス感 こなれてくるとメロンジュ スのように上品 山本らしさ アイデンティティを十二分に感じます  控えめな良い香り フル ティ で酸味が効いたうまさがある あと味に少し渋みがある 依然飲んだ和韻ほどではないが白ワインぽい感じがある 冷やすとうまさが出てこないので温めてみる ぬる燗程度だと酸味とうまみのバランスが良い  含むと軽快な中に旨味がある 余韻は苦味が少し目立つ 日本海に沈む夕日を眺めながら黄昏れている時に思いついた酒とある この苦味は人生の苦味か 笑  天杉の品格を表すかのように山本にしては落ち着いた味わい 山廃らしい力強い旨味 余韻は苦渋がある アテはおでんなんかが良さそう  後日追記 最後は温めると旨酸が立ってめちゃ旨い  白ワインに使うシャルドネ用の酵母を使用した日本酒 精米歩合55% アルコ ル14% 香りも普通の日本酒とは異なり独特でワインに近い 当たり前か キンキンに冷やして飲む やや辛口だが本当の白ワインと比べると酸味は少なめなので口当たりはまろやか その名の通り白ワインのような味わい いつも日本酒で合わせる刺身や焼き魚 煮物はほぼ合わない 少しぬるくなると渋みが強くなる  含むと思ったよりシャ プで締まっている  ドライフル ツのような濃縮されたような甘みもあるが  ガス感ある苦酸がスポイルしてくる  山本の中では落ち着きのある大人な味わい  ピュアブラックやミッドナイトブル の姉妹品  麹に白麹を使っているとのこと  含むとかなり酸度高め 噛み締めるクエン酸って感じ  さて アテは何が良いだろうか  開栓直後はオリっぽい優しい甘味とガス感がシュワッと 時間の経過と共に白ワインらしいマスカット感とドライ感が出てきます 苦味も強まるかな  他の蔵元でもワイン酵母で仕込むスペックが多くなってきましたが こちらはむしろ清酒由来の甘味が強い気がします  開栓後 何日か経つと円やかに ゴルゴンゾ ラピカンテと合わせたら合う これは実に妙ですね  開栓した瞬間 シュバッと勢い良く溢れだしました  こんな活きの良いの久しぶりだ  笑  注ぐときめ細かい泡がプチプチと  含むとシュワシュワと細やかなガス感が心地良く  余韻は少し苦み際立つドライ  時間が落ち着くと仄かなパイナップルの香味とオリの甘味が感じられます  炒め系と合わせると良さそうかな  秋田の酵母 種類と秋田県産の 種類の酒米をそれぞれの工程に分けて 仕込んだという何とも山本さんらしいスペック 笑   みずみずしいタッチから 思ったより派手すぎず  適度な蜜リンゴ的酸とイチゴの香味がスム スに流れ  徐 に引き締まってスッキリとヒケます  サクサク飲めますね 美味しい   この商品は香りが敢えて控え目で柑橘系の    のような      な酸味と 日本刀のような鋭い切れ味が特徴の         に対して 上立つ   な香りと 穏やかな味わいが特徴の純米吟醸です   精米歩合麹米50  掛米55      度16度 旨みと 味わいが程よくマッチした 優しいお酒です 生酒特有のフレッシュさは失わず 舌によくなじむ 透き通った飲み口が最高です  酒こまち精米歩合55  使用酵母 蔵付き分離 セクスィ 山本酵母 使用 アルコ ル度15度 日本酒度 4 酸度2 3 珍しい冷して飲む山廃仕込みのお酒とお店の人に勧められ 半信半疑で買いました  冷やして飲む山廃 お燗はダメよ って    フレッシュで 自分好みの酸味が素晴らしかった 日本酒って 作る人の意図 事情 で新しい挑戦や 自由な世界がどんどん広がるんですね 奥が深い です   これまた飲みたい  含むと香りは控え目ながら柑橘系の爽やかな酸味 ピリッと来るガス感  生原酒らしいミルキ フレッシュな柔らかさが全体をスポイル  余韻も酸が主張し シュッとヒケる  アベレ ジを感じさせるが そこから つ突き抜けているような  なんだろう めちゃくちゃ杯が進むぞ  そういえばこのドキドキ銘柄は飲んでなかったな  含むとスッキリしたタッチ 山本にしては香味控え目  味わいの強弱は少なく 開栓直後はとにかく酸っぱい  こなれてくると酸味はマイルドになるが  とはいえリンゴ酸による酸味がメインであることには違いない  たまたま甘酢生姜に合わせてみたが  静岡の日本酒がいいさんが仰りますように 生姜系に合いますね  キンキンに冷やしてキュッとやりたい  立ち香は穏やかながら 含むと鼻空を駆け抜けるセクシ な吟香 笑   山廃らしいボリュ ム感と旨味 甘酸っぱい酸が結構主張してくる  肩ラベルには 冷やして飲む山廃 お燗はダメよ  山本らしい 笑   裏ラベルには ロックで飲まれることを前提にしている為 割り水は行っていない旨の表記がありますが 個人的にも思ったより重さはあると思います  氷を一粒入れてロックで飲んでみると  確かに重さは取れてバランスが取れ来ますが 個性も薄くなるような  温度帯が上がると更に旨酸っぱさと厚みが強まります  含むと青リンゴのような若 しい香味  余韻はやや苦みを伴った甘酸っぱい酸味でヒケていきます  思ったよりヒケが良く キレが良いですね  雄町を使っているからなのか  山本シリ ズにしては思ったより酸味を立たせてドライさを 引き出しているような気がします  後日追記 数日するとリンゴ香の甘味が引き立ちます  初期のドライ感と若 しさも落ち着きを見せ こうなると山本らしい  好みの味わいに変化しました  冷やして飲みました 口に含むと濃いめの味がスッと広がって とろっとのどに流れていく感じ でも後味は爽やかで いくら飲んでも飽きが来ません 日本酒っておいしいって本当に思わせてくれるお酒です  ラベルは今の季節らしい華やかなピンク色  含むとリンゴ パイナップル系の甘味 甘酸っぱい酸味もあります  アルコ ル度数  度なんで全体的に軽やかな感じに仕上がっており  スイスイ飲めます 旨酸っぱい感じです  使用米は 吟の精  酵母は 山本セクシ 酵母 仮  とのこと 笑    白瀑 とは方向性が違う印象  山本は季節毎に違うバ ジョンが登場するが 甘みと酸味のバランスが良く ブレが少ない ラベルのデザインにもセンスを感じる あまりにラベルがアレだと人に勧めにくいので 助かっている  含むと生原酒らしいフレッシュバタ のような甘味と香りと酸味  飲んだ瞬間に 旨い  と思いました  思ったより甘味が力強いですが  酸味があるのでキレ良く仕上がってます  味付けの濃い料理よりもサッパリしたものと合わせてみたい  生野菜のディップとか水菜のサラダ ポン酢 なんかと 合わせてみたいですね  含むと南国果実的な甘味と香り ジュ シ な酸  思ったよりも吟醸香が凄いです  酸はしっかりしており パンとした腰の強さを感じます  そして余韻はどこか焦げたような香りを感じます  個人的には亀の尾はやや焦げたような風味と 余韻にやや強めの酸を出すように感じます  地鶏料理なんかに合わせてみたいな  うん 美味しいです  ネ ミングに誘われ 買いました 二日目までは酸味が強くて好みでないとがっかり  ところが今日は近江ショウガが酒の肴に加わり 口の中が辛みで少し麻痺した状態で飲んでびっくり 酸味が感じられない うまみだけが口に残る  ああこうして飲むんだ   転失気じゃないんだから  それにしても酸味が好きな方 がたくさんいるから こうした酒が造られているのだろうなと 自分の経験の浅さを感じる今日この頃  蔵元さんの名前でしょうか 酒こまち55%の純米吟醸生原酒です  少しバナナや桃のような雰囲気をもつ甘い香りがします  甘さが強めで 生原酒らしい押しがありますが 酸味とのバランスがいいですね  キュ トな味わいでなかなか好みでした 
山桂,飲み飽きしない酒 燗酒では ベスト に入るくらいにうまい 
山法師,やや控えめな良い香り しっかりとしたうまみがあり 後味も軽い酸味があって良い うまいことはうまいのだが あまり特徴がなく無難にまとめられた感があるな 
山猿,やわらかい ホワットした味で 少し濃い目 幻の酒米らしいが 何の特別な味は無い  香りはナッツのよう 味は飲みごたえあり  燗が好きですね  辛口の酒  バナナのような香りとの触れ込みがあったが  昔ながらの日本酒の匂いがした  いわれてみれば この匂いはどことなくバナナのようでもある  冷で飲んでみるとあまりパッとせず  渋み えぐ味を感じた  温めて飲んでみると 渋み えぐ味が増して 飲んだ後も口の中に残り  次の一杯を飲もうとは思えなかった  特別純米と比べると 一口目の飲み口は優しい  香りは こちらが上  辛口で バナナの香りがします  濃くてコクがある  重厚なコクというものではありませんが バランスが取れています  とろりとした滑らかな飲み口は さすがにベテラン但馬杜氏  山口県の酒は  獺祭 があたったこともあるのか フル ティな味わいで甘い酒が多い気がしていました  比べると女性は 獺祭 を選びますね  昨日蔵開きに行き 初めてここの酒を味わいました  辛口でありながら 多くの山口酒にあるようなフル ティさを あわせもっていたことには驚きでした  しかも  升が    円以下の酒がおいしい商品構成には 好感を持ちました  火入れです クリ ムの様な甘味があります 酸味は硬くやや平板で 甘味を引き締めて味の広がりを防いでいます  東京 池袋の東武百貨店でこの 山猿 の特別純米 生酒を試飲した時 売り場のオネエさんが バナナなのような香りというのが このお酒を飲んで初めて分かりました と言ってました  たしかに バナナの香りとしか言いようがないですね 山猿という命名がピッタリ とにかく印象に残る酒です 
山車,高山に旅行に行くという友人に頼んで買ってきてもらったうちの一品です  最初は常温 3月頃なので冷に近い15 もないくらい で飲みましたが甘みが強い白ワインのようで若干重い感じです なので冷蔵庫へ 冷やすと甘さが少し抑えられ飲みやすくなりました  これ以降はちびちびと食前酒として飲みました ラベルが破れていたのが残念  先日郡上から足を伸ばして     試飲した時のキ ンと冷えてた一口がとても旨くて 上澄み 本購入 思いっきり冷やして飲んだほうがいいかも 辛口の切れの良さが味わえます
山間,山間は辛口と言われているようですが それほどでも というのが第一印象 冷やしていたら少し前に飲んだ越の白鳥とあまり変わらないちょっとクセがあるアルコ ルが強い酒 室温くらいだと芳醇な香りが強く 山廃系の熟成感が強く出ている 少し旨みが少なく辛口に感じるが糖度は10 7%とそれほど低いわけでもない  新潟の酒はスッキリした感じのものという印象でしたが良い意味で裏切られた 濃厚な熟成感のある酒です  割とコクがあり 蜜というか焼酎的な甘みがある  いままで飲んだ山間とはちょっと違う感じ    カ月熟成の成果か  うまし 精米歩合 割  でも 甘味がいい感じで  癖がなくごくごく飲める  でも酒精度    んまい  無濾過生原酒です  立ち香はラムネを思わせるさわやかな香りです  はっきりした甘味と微炭酸ですが  すっきり後に残りません  んまいです  生詰めで微炭酸です とてもフレッシュで  飲みやすく さわやかな甘味を感じます  純米酒を超えて 吟醸酒のような心地よい味 開栓してすぐ桃やマンゴの香りがします 柔らかい口当たりとフレッシュな酒質が甘さと完璧に融合しました 最後の涼しい後味 まさに串焼きの相棒みたいに存在する  今年  6を飲みました  香りと旨みがしっかりして ガツンとくる感じでした  口に入れたときのフィ リングはとても良かったです  でも 残念だったのは 後味の重さ です  もうちょっと後味がスッキリしていれば 自分の好みなんですけどね   今年も運良く手に入れる事ができたori ori  開けたては同蔵の 辛口にごり生 と変わらないと正直思いましたが 日が経つにつれて甘みが増してきました よくある甘すぎるにごり酒とは違い 飽きずに飲み続けられるのが特徴でしょうか  それにしても アイスピックを使っての開栓は慣れませんね 爆死寸前でして 汗  前作のt4同様 持ち味の旨味と酸の絶妙なバランスで感動させてくれます ただ開栓直後に微かな苦み 渋み のようものが舌に残りましたが 日が経つにつれて無くなりました  このお酒は 肴が無くてもどんどんいけるんですよね  鬼山間に続き20by第二弾となる山間t4は特別純米酒無濾過生原酒中取り亀口取りのお酒です  あまりに長い肩書きのため 仕込み順号であるt4という名でデビュ   一口含むと 豊かな甘みと酸のバランスが絶妙 これぞ 山間 と関心させられました  開栓から日が経つと さらに旨味がのってくるのですが この辺は好みの分かれるところですね 個人的には開栓直後がフレッシュで好きです  まずこのラベル ちょっと遊びすぎと思うが中身は真剣そのもの  日本酒度は 8 0度でアルコ ル度19度の辛口と聞き このラベルもあって身構えてしまったが 今までの新潟的端麗辛口とは一線を期すとってもジュ シ な旨口無濾過原酒でした  もう少しキレが良くなれば完璧です  ようやく届いた山間の火入れ  人気 品薄のため取扱店ではあっという間に完売してしまったので 飲んでしまうのがもったいないが 今晩さっそく    新潟第一酒造さん 近所の酒屋でも扱って下さい  追伸 飲みました 旨いっす  開栓と同時にリンゴやブドウを思わせるフルティ な香り しかし 無濾過原酒系にありがちな派手な甘みではなく 飲み飽きない程度に上手くまとめられていて やられたっ て感じ いくらでも杯が進む危険な酒です  醸造責任者の武田氏が試験的にごく僅かな本数だけ仕込む 山間 やんま を運良くget  とってもフル テイ で斬新な味 新潟酒文化の新しい扉を開く日本酒  ちなみに武田氏は男も惚れる豪快な人柄 まさにサムライ 
山陰東郷,少し酸っぱい香りがあります 味の中心となっている酸味は分厚いです 甘味や旨味は酸味の陰に隠れて 強くは感じません 後口は酸味と苦味 渋味が醤油の様な風味を伴って広がり 消えていきます 
山鶴,安心して飲めるお酒  強烈に自己主張する要素が無く 均整のとれた優しい味でした 女性にもお勧めできます 
岩の井,仄かな林檎の様な香り  希少糖の様な甘さ  後味がかなりスッキリ  凄い旨いです  今のところ千葉一番です  例によって旧二級酒  少 酸を感じつつ呑んだ後に軽く米の粉を感じさせる余韻  辛口でも淡麗でもなく かと言って旨口でもない  味が無いって事では無く素直に旨い  兎に角疲れない  こりゃ晩酌にいいわ  友人にもらった 特記する特徴はあまり感じないが うまく味がまとまって美味しい  杜氏自作の等外雄町米を使った酒です メ タ が切れずに苦労したそう 原酒ではありません 酸味のある香りの中に僅かに苺のような甘い香りが混じっています まず感じるのは苦味です それが広がり その中から酸味や甘味が滑らかに出てきます 後口では甘味は酸味よりも広がりますが 苦味に引き締められ 木香を伴って消えていきます 
岩の蔵,純米吟醸 純米大吟醸はとてもおいしい そして最後に純米を飲みました  初心者の私は正確に評価できませんが 酸がきついというか 辛口すぎと言うか冷でも燗でも変わりませんでした 純米酒と言うのは素人から見て銘柄によって味の幅がありすぎですよね  特定の酒店しか取り扱ってない岩の蔵 純米 吟醸 大吟醸  種はコク 風味ともすばらしい 
